
 STAID, SOUID,    DATE,   TG, Q_TG
  7012,142184,19930418,   23,    0
  7012,142184,19930419,   17,    0
  7012,142184,19930420,   11,    0
  7012,142184,19930421,   14,    0
  7012,142184,19930422,   29,    0
  7012,142184,19930423,   29,    0
  7012,142184,19930424,   45,    0
  7012,142184,19930425,   52,    0
  7012,142184,19930426,   51,    0
  7012,142184,19930427,   54,    0
  7012,142184,19930428,   74,    0
  7012,142184,19930429,   61,    0
  7012,142184,19930430,   71,    0
  7012,142184,19930501,   61,    0
  7012,142184,19930502,   71,    0
  7012,142184,19930503,   69,    0
  7012,142184,19930504,   61,    0
  7012,142184,19930505,   69,    0
  7012,142184,19930506,   85,    0
  7012,142184,19930507,   80,    0
  7012,142184,19930508,   89,    0
  7012,142184,19930509,  106,    0
  7012,142184,19930510,  114,    0
  7012,142184,19930511,  115,    0
  7012,142184,19930512,   91,    0
  7012,142184,19930513,  102,    0
  7012,142184,19930514,  124,    0
  7012,142184,19930515,  119,    0
  7012,142184,19930516,  120,    0
  7012,142184,19930517,  140,    0
  7012,142184,19930518,  124,    0
  7012,142184,19930519,  153,    0
  7012,142184,19930520,  172,    0
  7012,142184,19930521,  112,    0
  7012,142184,19930522,   85,    0
  7012,142184,19930523,   95,    0
  7012,142184,19930524,  119,    0
  7012,142184,19930525,   96,    0
  7012,142184,19930526,   66,    0
  7012,142184,19930527,   78,    0
  7012,142184,19930528,   82,    0
  7012,142184,19930529,   94,    0
  7012,142184,19930530,  110,    0
  7012,142184,19930531,  103,    0
  7012,142184,19930601,  110,    0
  7012,142184,19930602,  108,    0
  7012,142184,19930603,   91,    0
  7012,142184,19930604,   88,    0
  7012,142184,19930605,   92,    0
  7012,142184,19930606,  104,    0
  7012,142184,19930607,   91,    0
  7012,142184,19930608,   97,    0
  7012,142184,19930609,  109,    0
  7012,142184,19930610,   97,    0
  7012,142184,19930611,   95,    0
  7012,142184,19930612,  101,    0
  7012,142184,19930613,  100,    0
  7012,142184,19930614,  104,    0
  7012,142184,19930615,  101,    0
  7012,142184,19930616,  109,    0
  7012,142184,19930617,  110,    0
  7012,142184,19930618,  114,    0
  7012,142184,19930619,  119,    0
  7012,142184,19930620,  118,    0
  7012,142184,19930621,  142,    0
  7012,142184,19930622,  115,    0
  7012,142184,19930623,  114,    0
  7012,142184,19930624,  117,    0
  7012,142184,19930625,  134,    0
  7012,142184,19930626,  151,    0
  7012,142184,19930627,  144,    0
  7012,142184,19930628,  140,    0
  7012,142184,19930629,  145,    0
  7012,142184,19930630,  146,    0
  7012,142184,19930701,  143,    0
  7012,142184,19930702,  147,    0
  7012,142184,19930703,  155,    0
  7012,142184,19930704,  151,    0
  7012,142184,19930705,  136,    0
  7012,142184,19930706,  121,    0
  7012,142184,19930707,  115,    0
  7012,142184,19930708,  113,    0
  7012,142184,19930709,  114,    0
  7012,142184,19930710,  124,    0
  7012,142184,19930711,  144,    0
  7012,142184,19930712,  141,    0
  7012,142184,19930713,  150,    0
  7012,142184,19930714,  149,    0
  7012,142184,19930715,  148,    0
  7012,142184,19930716,  150,    0
  7012,142184,19930717,  151,    0
  7012,142184,19930718,  155,    0
  7012,142184,19930719,  158,    0
  7012,142184,19930720,  160,    0
  7012,142184,19930721,  158,    0
  7012,142184,19930722,  156,    0
  7012,142184,19930723,  160,    0
  7012,142184,19930724,  159,    0
  7012,142184,19930725,  160,    0
  7012,142184,19930726,  158,    0
  7012,142184,19930727,  152,    0
  7012,142184,19930728,  146,    0
  7012,142184,19930729,  150,    0
  7012,142184,19930730,  163,    0
  7012,142184,19930731,  175,    0
  7012,142184,19930801,  163,    0
  7012,142184,19930802,  156,    0
  7012,142184,19930803,  160,    0
  7012,142184,19930804,  170,    0
  7012,142184,19930805,  163,    0
  7012,142184,19930806,  169,    0
  7012,142184,19930807,  161,    0
  7012,142184,19930808,  165,    0
  7012,142184,19930809,  159,    0
  7012,142184,19930810,  173,    0
  7012,142184,19930811,  168,    0
  7012,142184,19930812,  162,    0
  7012,142184,19930813,  163,    0
  7012,142184,19930814,  152,    0
  7012,142184,19930815,  152,    0
  7012,142184,19930816,  160,    0
  7012,142184,19930817,  154,    0
  7012,142184,19930818,  122,    0
  7012,142184,19930819,  134,    0
  7012,142184,19930820,  132,    0
  7012,142184,19930821,  133,    0
  7012,142184,19930822,  143,    0
